ID Geography,Geography,Diabetes Monitoring (2014),Diabetes Monitoring (2015),Diabetes Monitoring (2016),Diabetes Monitoring (2017),Diabetes Monitoring (2018),Diabetes Monitoring CI High (2014),Diabetes Monitoring CI High (2015),Diabetes Monitoring CI High (2016),Diabetes Monitoring CI High (2017),Diabetes Monitoring CI High (2018),Diabetes Monitoring CI Low (2014),Diabetes Monitoring CI Low (2015),Diabetes Monitoring CI Low (2016),Diabetes Monitoring CI Low (2017),Diabetes Monitoring CI Low (2018),Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018),Median Age (2013),Median Age (2014),Median Age (2015),Median Age (2016),Median Age (2017),Median Age (2018),Median Age Moe (2013),Median Age Moe (2014),Median Age Moe (2015),Median Age Moe (2016),Median Age Moe (2017),Median Age Moe (2018)
"04000US48","Texas",0.8299999833106995,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8382688164710999,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8418514132499695,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.834686279296875,6.6479997634887695,6.400000095367432,6.400000095367432,6.599999904632568,6,34,34.3,34.4,34.5,34.7,34.9,0.1,0.1,0.1,0.2,0.1,0.1
"04000US47","Tennessee",0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8700000047683716,0.8655522465705872,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.871853232383728,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8592512011528015,7.159999847412109,6.900000095367432,6.699999809265137,6.800000190734863,6.199999809265137,38.5,38.6,38.7,38.6,38.6,38.9,0.2,0.1,0.1,0.2,0.1,0.2
"04000US46","South Dakota",0.8399999737739563,0.8399999737739563,0.8299999833106995,0.8399999737739563,0.8368006348609924,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8542755246162415,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8193256855010986,7.670000076293945,7.400000095367432,7.300000190734863,7.300000190734863,6.599999904632568,36.6,36.6,36.9,36.8,36.9,37.2,0.3,0.3,0.3,0.3,0.3,0.3
"04000US45","South Carolina",0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8623176217079163,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8688547611236572,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8557805418968201,6.9730000495910645,6.699999809265137,6.800000190734863,6.900000095367432,6,38.6,38.8,39,39.1,39.4,39.7,0.2,0.1,0.2,0.2,0.2,0.2
"04000US04","Arizona",0.7900000214576721,0.7900000214576721,0.800000011920929,0.800000011920929,0.8004971146583557,0.7900000214576721,0.800000011920929,0.800000011920929,0.8100000023841858,0.8077573776245117,0.7799999713897705,0.7799999713897705,0.7900000214576721,0.7900000214576721,0.7932367920875549,7.11299991607666,6.900000095367432,6.800000190734863,6.900000095367432,6.400000095367432,36.8,36.9,37.4,37.5,37.7,38,0.1,0.1,0.1,0.2,0.1,0.2
"04000US44","Rhode Island",0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8799999952316284,0.8771015405654907,0.8799999952316284,0.8799999952316284,0.8899999856948853,0.8999999761581421,0.8960364460945129,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8581665754318237,7.559000015258789,7.300000190734863,7.300000190734863,7.5,8.300000190734863,39.9,39.8,39.7,40.2,39.5,40,0.3,0.3,0.3,0.2,0.4,0.4
"04000US42","Pennsylvania",0.8399999737739563,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8628575801849365,0.8500000238418579,0.8600000143051147,0.8700000047683716,0.8700000047683716,0.8680296540260315,0.8399999737739563,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8576855659484863,8.027999877929688,7.699999809265137,7.699999809265137,7.800000190734863,8.199999809265137,40.6,40.7,40.7,40.6,40.8,40.8,0.1,0.1,0.1,0.1,0.1,0.1
"04000US41","Oregon",0.8600000143051147,0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8633210062980652,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8735716938972473,0.8500000238418579,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8530702590942383,7.566999912261963,7.300000190734863,7.300000190734863,7.300000190734863,7.599999904632568,39.1,39.3,39.1,39.2,39.3,39.6,0.2,0.2,0.2,0.2,0.2,0.2
"04000US40","Oklahoma",0.7799999713897705,0.7799999713897705,0.7799999713897705,0.7799999713897705,0.7835676670074463,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.7908731698989868,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7799999713897705,0.7762621641159058,7.071000099182129,6.699999809265137,6.599999904632568,6.599999904632568,5.900000095367432,36.2,36.2,36.3,36.4,36.6,36.7,0.1,0.2,0.1,0.2,0.1,0.2
"04000US05","Arkansas",0.8199999928474426,0.8299999833106995,0.8299999833106995,0.8399999737739563,0.8415413498878479,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8502568602561951,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8299999833106995,0.8328258395195007,6.617000102996826,6.199999809265137,6.099999904632568,6.199999809265137,5.199999809265137,37.8,37.8,37.9,38,38.1,38.1,0.2,0.2,0.2,0.2,0.3,0.3
